Doge Agency,Doge Upload Date,Contract URL,Doge Value,Doge Desc,Valid URL,agencyID,PIID,modNumber,transactionNumber,idvAgencyID,idvPIID,idvModNumber,reasonForModification,solicitationID,tasAgencyIdentifier,tasMainAccountCode,tasSubAccountCode,signedDate,effectiveDate,awardCompletionDate,estimatedUltimateCompletionDate,solicitationDate,previousObligatedAmount,obligatedAmount,totalObligatedAmount,previousBaseAndExercisedOptionsValue,baseAndExercisedOptionsValue,totalBaseAndExercisedOptionsValue,previousUltimateContractValue,ultimateContractValue,totalUltimateContractValue,feesPaidForUseOfService,contractingOfficeAgencyID,contractingOfficeAgencyName,contractingOfficeID,contractingOfficeName,fundingRequestingAgencyID,fundingRequestingAgencyName,fundingRequestingOfficeID,fundingRequestingOfficeName,ccrException,UEINumber,vendorName,vendorDoingAsBusinessName,cageCode,vendorStreet,vendorStreet2,vendorCity,vendorState,vendorZip,vendorCountryForDisplay,vendorPhone,vendorFax,vendorCongressionalDistrict,organizationType,stateOfIncorporation,countryOfIncorporation,majorProgramCode,numberOfActions,placeStateCode,placeLocationCode,placeCountryCode,principalPlaceOfPerformanceCountyName,principalPlaceOfPerformanceName,congressionalDistrictPlaceOfPerformance,placeOfPerformanceZIPCode,placeOfPerformanceZIPCode4,productOrServiceCode,productOrServiceCodeDescription,principalNAICSCode,NAICSCodeDescription,systemEquipmentCode,systemEquipmentShortDescription,countryOfOrigin,countryOfOriginForDisplay,claimantProgramCode,claimantProgramCodeShortDescription,extentCompetedForReferencedIDV,idvTypeOfSetAside,typeOfSetAsideSource,idvNumberOfOffersReceived,numberOfOffersReceived,numberOfOffersSource,pricePreferncePercentDifference,otherStatutoryAuthority,descriptionOfContractRequirement,displayAwardType,displayPreparedDate,displayPreparedBy,displayStatus,displayLastModifiedDate,displayLastModifiedBy,displayClosedStatus,displayClosedDate,displayClosedBy,displayApprovedPlaceholder,displayApprovedDate,displayApprovedBy,,tasInitiative,foreignFunding,typeOfContractPricing,inherentlyGovernmentalFunction,multiYearContract,nationalInterest,costOrPricingData,acceptPurchaseCard,undefinitizedAction,performanceBasedServiceContract,contingencyHumanitarianPeacekeepingOperation,contractFinancing,costAccountingStandardsClause,consolidatedContract,ClingerCohenAct,laborStandards,materialsSuppliesArticlesEquipment,constructionWageRateRequirements,listOfAdditionalReportingValues,interagencyContractingAuthority,bundledContractException,placeOfManufacture,manufacturingOrganizationType,recoveredMaterialClauses,informationTechnologyCommercialItemCategory,seaTransportation,GFE_GFP,useOfEPADesignatedProducts,extentCompeted,tradeoffProcess,solicitationProcedures,typeOfSetAside,evaluatedPreference,research,statutoryExceptionToFairOpportunity,reasonNotCompeted,localAreaSetAside,fedBizOpps,A76Action,commercialItemAcquisitionProcedures,commercialItemTestProgram,contractingOfficerBusinessSizeDetermination,subcontractPlan,lastDateToOrder,baseAndAllOptionsValue,totalEstimatedOrderValue,programAcronym,websiteURL,FIPS95Codes,emailAddress,individualOrderLimit,fixedFeeValue,feeRangeLowerValue,feeRangeUpperValue,orderingProcedure,displayIDVType,typeOfIDC,multipleOrSingleAwardIDC,whoCanUse
DEPARTMENT OF HEALTH AND HUMAN SERVICES,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124C19113&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,"$1,001,662",OMS WORKFORCE RELATIONS & CONSULTANT SERVICES,True,7523,75D30124C19113,0,0,,,,,75D301-24-R-72986,,,,06/05/2024,06/07/2024,05/06/2025,05/06/2029,04/18/2024,,"$191,842.56",,,"$191,842.56",,,"$1,193,504.84",,$0.00,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,,FAFSLWW6MJN4,STRATEGIC INNOVATIVE SOLUTIONS LLC,,5W3U5,13830 58TH ST N STE 414,,CLEARWATER,FL,337603720,UNITED STATES,(727) 202-6911,(800) 763-0512,FLORIDA 13,CORPORATE NOT TAX EXEMPT,FL,USA,,1,FL,,USA,PINELLAS,CLEARWATER,FLORIDA 13,33760,3770,R499,SUPPORT- PROFESSIONAL: OTHER,541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",,,USA,UNITED STATES,,,,,This Action,,1,This Action,,,OMS Workforce Relations & Consultant Services,Definitive Contract,06/05/2024 10:56:31,HHSTTUCKER,Final,06/05/2024 10:56:33,HHSTTUCKER,No,,,,06/05/2024 10:56:33,HHSTTUCKER,"SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",Select One,Not Applicable,Firm Fixed Price,Other Functions,No,Select One,No,No,No,No - Service where PBA is not used.,Not Applicable,Select One,Not Applicable exempt from CAS,Not Consolidated,No,No,No,No,Employment Eligibility Verification (52.222-54),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Not Available for Competition,Other,Only One Source,8(a) Sole Source ,No Preference used,Select One,Select One,Authorized by Statute (FAR 6.302-5(a)(2)(i)),No,No,Select One,Commercial Products/Services Procedures not used,No,Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123F18103&modNumber=P00001&idvAgencyID=&idvPIID=75D30121A10022&contractType=AWARD,"$475,984",OCOO SBI COMMUNICATIONS SUPPORT SERVICES,True,7523,75D30123F18103,P00001,0,7523,75D30121A10022,0,Supplemental Agreement for work within scope,75D301-23-Q-76692,,,,08/25/2024,09/18/2023,09/17/2025,09/17/2028,07/28/2023,,"$150,983.58","$365,664.75",,"$150,983.58","$365,664.75",,"-$648,871.66","$365,664.75",$0.00,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,,JG1JX6NL39U7,GUIDEHOUSE LLP,,783T6,1800 TYSONS BLVD FL 7,,MCLEAN,VA,221024257,UNITED STATES,(703) 656-6880,,VIRGINIA 11,CORPORATE NOT TAX EXEMPT,DE,USA,,1,VA,,USA,FAIRFAX,MCLEAN,VIRGINIA 11,22102,3600,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,USA,UNITED STATES,,,,,This Action,,1,This Action,,,Descope and exericse option year 1,BPA Call,08/25/2024 15:48:13,HHSAHAYNES,Final,08/25/2024 15:48:15,HHSAHAYNES,No,,,,08/25/2024 15:48:15,HHSAHAYNES,For Profit Organization,Select One,Not Applicable,Labor Hours,Other Functions,Select One,Select One,Select One,No,No,No - Service where PBA is not used.,Not Applicable,Select One,No - CAS waiver approved,Not Consolidated,No,No,No,Not Applicable,Employment Eligibility Verification (52.222-54),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Competed under SAP,Other,Simplified Acquisition,No set aside used.,No Preference used,Select One,Select One,Select One,No,Select One,No,Commercial Products/Services Procedures not used,No,Other than Small Business,Plan Not Included - No Subcontracting Possibilities ,,,,,,,,,,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123F17296&modNumber=P00002&idvAgencyID=&idvPIID=75D30121A10023&contractType=AWARD,"$1,708,999",OA BUDGETARY SUPPORT,True,7523,75D30123F17296,P00002,0,7523,75D30121A10023,0,Exercise an Option,75D301-23-Q-76077,,,,08/06/2024,09/30/2023,09/29/2025,09/29/2027,04/18/2023,,"$357,462.16","$768,643.34",,"$357,462.16","$768,643.34",,$0.00,"$768,643.34",$0.00,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,,CKV2L9GZKJK3,DELOITTE CONSULTING LLP,,1TTG5,1919 N LYNN ST,,ARLINGTON,VA,222091742,UNITED STATES,(571) 858-0176,(703) 842-6748,VIRGINIA 08,PARTNERSHIP,DE,USA,,1,VA,,USA,ARLINGTON,ARLINGTON,VIRGINIA 08,22209,1742,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,USA,UNITED STATES,,,,,This Action,,2,This Action,,,Partially exercise option year 1,BPA Call,08/06/2024 09:52:55,HHSAHAYNES,Final,08/06/2024 09:52:57,HHSAHAYNES,No,,,,08/06/2024 09:52:57,HHSAHAYNES,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Other Functions,Select One,Select One,Select One,No,No,No - Service where PBA is not used.,Not Applicable,Select One,No - CAS waiver approved,Not Consolidated,No,No,No,Not Applicable,Employment Eligibility Verification (52.222-54),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Competed under SAP,Other,Simplified Acquisition,No set aside used.,No Preference used,Select One,Select One,Select One,No,Select One,No,Commercial Products/Services Procedures not used,No,Other than Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122F14569&modNumber=P00003&idvAgencyID=&idvPIID=75D30121A10024&contractType=AWARD,"$412,852",FINANCIAL MANAGEMENT AND BUDGETARY SUPPORT,True,7523,75D30122F14569,P00003,0,7523,75D30121A10024,0,Exercise an Option,75D301-22-Q-74822,,,,08/02/2024,09/01/2022,08/31/2025,08/31/2027,05/25/2022,,"$199,492.00","$585,120.00",,"$199,492.00","$585,120.00",,$0.00,"$997,972.00",$0.00,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,,MLHSFLX3M151,"E.F. KEARNEY, LIMITED",,3PYA3,1701 DUKE ST STE 500,,ALEXANDRIA,VA,223143492,UNITED STATES,(703) 931-5600,(703) 931-3655,VIRGINIA 08,CORPORATE NOT TAX EXEMPT,VA,USA,,1,VA,,USA,ALEXANDRIA CITY,ALEXANDRIA,VIRGINIA 08,22314,3492,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,USA,UNITED STATES,,,,,This Action,,1,This Action,,,Financial Management and Budgetary Support,BPA Call,08/02/2024 14:08:22,HHSAHAYNES,Final,08/02/2024 14:08:24,HHSAHAYNES,No,,,,08/02/2024 14:08:24,HHSAHAYNES,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Other Functions,Select One,Select One,Select One,No,No,No - Service where PBA is not used.,Not Applicable,Select One,Select One,Not Consolidated,No,No,No,Not Applicable,Employment Eligibility Verification (52.222-54),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Competed under SAP,Other,Simplified Acquisition,No set aside used.,No Preference used,Select One,Select One,Select One,No,Select One,No,Commercial Products/Services Procedures not used,No,Other than Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122F15040&modNumber=P00003&idvAgencyID=&idvPIID=75D30121A10023&contractType=AWARD,"$1,062,465",FINANCIAL SUPPORT SERVICES,True,7523,75D30122F15040,P00003,0,7523,75D30121A10023,0,Other Administrative Action,75D301-22-Q-75239,,,,01/08/2025,09/25/2022,09/24/2024,09/24/2027,07/13/2022,,-$195.79,"$675,310.46",,-$195.79,"$675,310.46",,-$195.79,"$1,737,775.91",$0.00,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,,CKV2L9GZKJK3,DELOITTE CONSULTING LLP,,1TTG5,1919 N LYNN ST,,ARLINGTON,VA,222091742,UNITED STATES,(571) 858-0176,(703) 842-6748,VIRGINIA 08,PARTNERSHIP,DE,USA,,1,VA,,USA,ARLINGTON,ARLINGTON,VIRGINIA 08,22209,1742,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,USA,UNITED STATES,,,,,This Action,,2,This Action,,,Financial Support Services,BPA Call,01/08/2025 10:24:44,XTE9@CDC.GOV,Final,01/08/2025 10:24:45,XTE9@CDC.GOV,No,,,,01/08/2025 10:24:45,XTE9@CDC.GOV,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Other Functions,Select One,Select One,Select One,No,No,No - Service where PBA is not used.,Not Applicable,Select One,Select One,Not Consolidated,No,No,No,Not Applicable,Employment Eligibility Verification (52.222-54),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Competed under SAP,Other,Simplified Acquisition,No set aside used.,No Preference used,Select One,Select One,Select One,No,Select One,No,Commercial Products/Services Procedures not used,No,Other than Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123F17790&modNumber=P00001&idvAgencyID=&idvPIID=75D30121A10023&contractType=AWARD,"$592,794",FINANCIAL MANAGEMENT AND PLANNING SUPPORT,True,7523,75D30123F17790,P00001,0,7523,75D30121A10023,0,Exercise an Option,75D301-23-Q-76336,,,,08/09/2024,09/30/2023,09/29/2025,09/29/2026,05/23/2023,,"$575,511.55","$739,746.42",,"$575,511.55","$739,746.42",,$0.00,"$739,746.42",$0.00,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,,CKV2L9GZKJK3,DELOITTE CONSULTING LLP,,1TTG5,1919 N LYNN ST,,ARLINGTON,VA,222091742,UNITED STATES,(571) 858-0176,(703) 842-6748,VIRGINIA 08,PARTNERSHIP,DE,USA,,1,VA,,USA,ARLINGTON,ARLINGTON,VIRGINIA 08,22209,1742,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,USA,UNITED STATES,,,,,This Action,,2,This Action,,,Exercise option year 1 for Financial Management and Planning Support,BPA Call,08/09/2024 14:20:47,HHSAHAYNES,Final,08/09/2024 14:20:49,HHSAHAYNES,No,,,,08/09/2024 14:20:49,HHSAHAYNES,For Profit Organization,Select One,Not Applicable,Firm Fixed Price,Other Functions,Select One,Select One,Select One,No,No,No - Service where PBA is not used.,Not Applicable,Select One,No - CAS waiver approved,Not Consolidated,No,No,No,Not Applicable,Employment Eligibility Verification (52.222-54),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Competed under SAP,Other,Simplified Acquisition,No set aside used.,No Preference used,Select One,Select One,Select One,No,Select One,No,Commercial Products/Services Procedures not used,No,Other than Small Business,Plan Not Included - No Subcontracting Possibilities ,,,,,,,,,,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C16117&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$6,189,209",GMS SUPPORT SERVICES,True,7523,75D30123C16117,P00001,0,,,,Supplemental Agreement for work within scope,75D301-23-R-72601,,,,06/26/2023,04/04/2023,03/27/2024,03/27/2026,03/14/2023,,$0.00,"$2,925,383.84",,$0.00,"$2,925,383.84",,$0.00,"$9,114,592.32",$0.00,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,,JYBLAXNKT647,"CHENEGA ENTERPRISE SYSTEMS & SOLUTIONS, LLC",,7TKL9,609 INDEPENDENCE PKWY,STE 210,CHESAPEAKE,VA,233205209,UNITED STATES,(703) 389-3207,,VIRGINIA 03,OTHER,AK,USA,,1,GA,,USA,DEKALB,ATLANTA,GEORGIA 04,30341,5507,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,USA,UNITED STATES,,,,,This Action,,1,This Action,,,GMS Support Services,Definitive Contract,06/26/2023 13:42:11,HHSRBURCH,Final,06/26/2023 13:42:12,HHSRBURCH,No,,,,06/26/2023 13:42:12,HHSRBURCH,"SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",Select One,Not Applicable,Firm Fixed Price,Other Functions,No,None,No,No,No,No - Service where PBA is not used.,Not Applicable,Not Applicable,Not Applicable exempt from CAS,Not Consolidated,No,No,No,No,Employment Eligibility Verification (52.222-54),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Not Available for Competition,Other,Only One Source,8(a) Sole Source ,No Preference used,Select One,Select One,Authorized by Statute (FAR 6.302-5(a)(2)(i)),No,No,Select One,Commercial Products/Services Procedures not used,No,Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C17071&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$3,536,264",OGS MPA SUPPORT SERVICES,True,7523,75D30123C17071,P00001,0,,,,Supplemental Agreement for work within scope,75D301-23-R-72720,,,,06/26/2024,07/12/2023,06/30/2025,06/30/2028,06/15/2023,,"$634,516.32","$1,712,979.92",,"$634,516.32","$1,712,979.92",,"-$476,279.20","$5,249,243.04",$0.00,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,,L6EGSSQUATW9,"GOLDBELT PROFESSIONAL SERVICES, LLC",,6Y1M0,860 GREENBRIER CIR STE 410,,CHESAPEAKE,VA,233202640,UNITED STATES,(757) 550-2108,,VIRGINIA 03,CORPORATE NOT TAX EXEMPT,VA,USA,,1,VA,,USA,CHESAPEAKE CITY,CHESAPEAKE,VIRGINIA 03,23320,2640,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,,,USA,UNITED STATES,,,,,This Action,,1,This Action,,,Option Exercise and Descope,Definitive Contract,06/26/2024 15:01:09,HHSAHAYNES,Final,06/26/2024 15:01:10,HHSAHAYNES,No,,,,06/26/2024 15:01:10,HHSAHAYNES,"SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",Select One,Not Applicable,Firm Fixed Price,Other Functions,No,Select One,No,No,No,No - Service where PBA is not used.,Not Applicable,Select One,Not Applicable exempt from CAS,Not Consolidated,No,No,No,No,Employment Eligibility Verification (52.222-54),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Not Available for Competition,Other,Only One Source,8(a) Sole Source ,No Preference used,Select One,Select One,Authorized by Statute (FAR 6.302-5(a)(2)(i)),No,No,Select One,Commercial Products/Services Procedures not used,No,Small Business,Plan Not Required ,,,,,,,,,,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F20339&modNumber=P00001&idvAgencyID=&idvPIID=75D30121A12815&contractType=AWARD,$0,SOIL VAPOR INTRUSION TOOLBOX,True,7523,75D30124F20339,P00001,0,7523,75D30121A12815,0,Other Administrative Action,,,,,11/12/2024,09/30/2024,09/26/2025,09/26/2025,09/13/2024,,$0.00,"$240,000.00",,$0.00,"$240,000.00",,$0.00,"$240,000.00",$0.00,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,,DK4TBEJRAR56,"EASTERN RESEARCH GROUP, INC.",,00GP8,110 HARTWELL AVE STE 1,,LEXINGTON,MA,024213134,UNITED STATES,(781) 674-7200,(781) 674-2851,MASSACHUSETTS 03,CORPORATE NOT TAX EXEMPT,MA,USA,,1,MA,,USA,MIDDLESEX,CONCORD,MASSACHUSETTS 03,01742,2767,R499,SUPPORT- PROFESSIONAL: OTHER,541620,ENVIRONMENTAL CONSULTING SERVICES,,,USA,UNITED STATES,,,,,BPA,6,1,This Action,,,SOIL VAPOR INTRUSION TOOLBOX,BPA Call,11/12/2024 11:57:06,HHSAHAYNES,Final,11/26/2024 15:25:21,IDV_CORRECT,No,,,,11/12/2024 11:57:06,HHSAHAYNES,"For Profit Organization
Subchapter S Corporation",Select One,Not Applicable,Firm Fixed Price,Other Functions,Select One,Select One,Select One,No,No,No - Service where PBA is not used.,Not Applicable,Select One,Not Applicable exempt from CAS,Not Consolidated,No,Yes,Not Applicable,Not Applicable,Employment Eligibility Verification (52.222-54),Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Full and Open Competition,Other,Subject to Multiple Award Fair Opportunity,Select One,No Preference used,Select One,Only One Source - Other ,Select One,No,Select One,No,Commercial Products/Services,No,Other than Small Business,Select One,,,,,,,,,,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123F18042&modNumber=P00002&idvAgencyID=&idvPIID=75D30121A12815&contractType=AWARD,$0,MEDICAL MANAGEMENT GUIDES UPDATE,True,7523,75D30123F18042,P00002,0,7523,75D30121A12815,0,Supplemental Agreement for work within scope,75D301-23-Q-77159,,,,09/26/2024,09/13/2023,09/29/2025,09/29/2025,08/28/2023,,"$138,965.00","$249,152.00",,"$138,965.00","$249,152.00",,"$138,965.00","$249,152.00",$0.00,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,,DK4TBEJRAR56,"EASTERN RESEARCH GROUP, INC.",,00GP8,110 HARTWELL AVE STE 1,,LEXINGTON,MA,024213134,UNITED STATES,(781) 674-7200,(781) 674-2851,MASSACHUSETTS 03,CORPORATE NOT TAX EXEMPT,MA,USA,,1,GA,,USA,DEKALB,ATLANTA,GEORGIA 04,30341,3717,R499,SUPPORT- PROFESSIONAL: OTHER,541620,ENVIRONMENTAL CONSULTING SERVICES,,,USA,UNITED STATES,,,,,BPA,6,1,This Action,,,Medical Management Guides Update,BPA Call,09/26/2024 15:09:57,HHSDECCLESTON@CDC.GOV,Final,11/26/2024 15:25:21,IDV_CORRECT,No,,,,09/26/2024 15:09:58,HHSDECCLESTON@CDC.GOV,"For Profit Organization
Subchapter S Corporation",Select One,Not Applicable,Firm Fixed Price,Other Functions,Select One,Select One,No,No,No,No - Service where PBA is not used.,Not Applicable,Not Applicable,Not Applicable exempt from CAS,Not Consolidated,No,Yes,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Full and Open Competition,Other,Subject to Multiple Award Fair Opportunity,Select One,No Preference used,Select One,Follow-on Action Following Competitive Initial Action,Select One,No,Not Applicable,No,Commercial Products/Services,No,Other than Small Business,Select One,,,,,,,,,,,,,,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICES,2/13/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F20337&modNumber=0&idvAgencyID=&idvPIID=75D30121A12815&contractType=AWARD,$0,ENVIRONMENTAL HEALTH AND LAND REUSE WEBINARS,True,7523,75D30124F20337,0,0,7523,75D30121A12815,0,,75D301-24-Q-78531,,,,09/30/2024,09/30/2024,09/29/2025,09/29/2025,09/12/2024,,"$46,761.00",,,"$46,761.00",,,"$46,761.00",,$0.00,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,7523,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,CDC OFFICE OF ACQUISITION SERVICES,,DK4TBEJRAR56,"EASTERN RESEARCH GROUP, INC.",,00GP8,110 HARTWELL AVE STE 1,,LEXINGTON,MA,024213134,UNITED STATES,(781) 674-7200,(781) 674-2851,MASSACHUSETTS 05,CORPORATE NOT TAX EXEMPT,MA,USA,,1,MA,,USA,MIDDLESEX,CONCORD,MASSACHUSETTS 03,01742,2767,Z1HC,MAINTENANCE OF GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) ENVIRONMENTAL LABORATORIES,541620,ENVIRONMENTAL CONSULTING SERVICES,,,USA,UNITED STATES,,,,,BPA,6,2,This Action,,,Environmental Health and Land Reuse Webinars,BPA Call,09/30/2024 10:03:46,HHSAHAYNES,Final,11/26/2024 15:25:21,IDV_CORRECT,No,,,,09/30/2024 10:03:49,HHSAHAYNES,"For Profit Organization
Subchapter S Corporation",Select One,Not Applicable,Firm Fixed Price,Other Functions,Select One,Select One,Select One,No,No,No - Service where PBA is not used.,Not Applicable,Not Applicable,Not Applicable exempt from CAS,Not Consolidated,No,Yes,Not Applicable,Not Applicable,None of the Above,Not Applicable,Not Bundled,Not a manufactured end product,U.S. Owned Business,No Clauses Included and No Sustainability Included,Select One,Select One,Transaction does not use GFP,Not Required,Full and Open Competition,Lowest Price Technically Acceptable,Subject to Multiple Award Fair Opportunity,Select One,No Preference used,Select One,Fair Opportunity given,Select One,No,Select One,No,Commercial Products/Services,No,Other than Small Business,Select One,,,,,,,,,,,,,,,,
